asset_id,organization_id,asset_identifier,asset_name,asset_type,criticality,environment,location,status
AST07225,ORG00592,SRV-07225,Application 07225,Application,Medium,Staging,Pune DC,Active
AST07226,ORG00146,SRV-07226,Cloud Instance 07226,Cloud Instance,Critical,Production,Mumbai DC,Active
AST07227,ORG00106,SRV-07227,Network Device 07227,Network Device,Critical,Production,Pune DC,Active
AST07228,ORG00943,SRV-07228,Application 07228,Application,High,Development,Bengaluru DC,Active
AST07229,ORG00135,SRV-07229,Cloud Instance 07229,Cloud Instance,High,Staging,Delhi DC,Active
AST07230,ORG00222,SRV-07230,Network Device 07230,Network Device,High,Production,Delhi DC,Active
AST07231,ORG00193,SRV-07231,Cloud Instance 07231,Cloud Instance,Critical,Development,Delhi DC,Active
AST07232,ORG00410,SRV-07232,Cloud Instance 07232,Cloud Instance,Critical,Production,Hyderabad DC,Active
AST07233,ORG00312,SRV-07233,Firewall 07233,Firewall,Critical,Development,Mumbai DC,Active
AST07234,ORG00463,SRV-07234,Domain Controller 07234,Domain Controller,Critical,Production,Bengaluru DC,Active
AST07235,ORG00230,SRV-07235,Cloud Instance 07235,Cloud Instance,High,Production,Hyderabad DC,Active
AST07236,ORG00436,SRV-07236,Database 07236,Database,High,Development,Pune DC,Active
AST07237,ORG00606,SRV-07237,Server 07237,Server,Critical,Staging,Mumbai DC,Active
AST07238,ORG00013,SRV-07238,Application 07238,Application,Critical,Production,Delhi DC,Maintenance
AST07239,ORG00099,SRV-07239,Database 07239,Database,Low,Staging,Hyderabad DC,Active
AST07240,ORG00430,SRV-07240,Firewall 07240,Firewall,High,Production,Pune DC,Active
AST07241,ORG00747,SRV-07241,Workstation 07241,Workstation,Critical,Staging,Pune DC,Maintenance
AST07242,ORG00944,SRV-07242,Application 07242,Application,Medium,Development,Mumbai DC,Active
AST07243,ORG00357,SRV-07243,Cloud Instance 07243,Cloud Instance,High,Staging,Bengaluru DC,Active
AST07244,ORG00243,SRV-07244,Cloud Instance 07244,Cloud Instance,Medium,Staging,Mumbai DC,Active
AST07245,ORG00607,SRV-07245,Cloud Instance 07245,Cloud Instance,Critical,Staging,Hyderabad DC,Active
AST07246,ORG00227,SRV-07246,Server 07246,Server,Medium,Production,Mumbai DC,Active
AST07247,ORG00814,SRV-07247,Network Device 07247,Network Device,Low,Production,Delhi DC,Active
AST07248,ORG00918,SRV-07248,Server 07248,Server,High,Production,Pune DC,Inactive
AST07249,ORG00627,SRV-07249,Workstation 07249,Workstation,High,Staging,Hyderabad DC,Active
AST07250,ORG00339,SRV-07250,Network Device 07250,Network Device,Medium,Staging,Delhi DC,Active
AST07251,ORG00787,SRV-07251,Network Device 07251,Network Device,High,Production,Delhi DC,Inactive
AST07252,ORG00820,SRV-07252,Domain Controller 07252,Domain Controller,Low,Production,Pune DC,Active
AST07253,ORG00349,SRV-07253,Domain Controller 07253,Domain Controller,Medium,Production,Mumbai DC,Active
AST07254,ORG00350,SRV-07254,Network Device 07254,Network Device,Medium,Development,Hyderabad DC,Maintenance
AST07255,ORG00494,SRV-07255,Firewall 07255,Firewall,Low,Production,Delhi DC,Active
AST07256,ORG00290,SRV-07256,Workstation 07256,Workstation,Critical,Production,Delhi DC,Active
AST07257,ORG00700,SRV-07257,Server 07257,Server,High,Staging,Delhi DC,Active
AST07258,ORG00926,SRV-07258,Cloud Instance 07258,Cloud Instance,Medium,Production,Mumbai DC,Active
AST07259,ORG00702,SRV-07259,Workstation 07259,Workstation,Low,Production,Delhi DC,Active
AST07260,ORG00303,SRV-07260,Domain Controller 07260,Domain Controller,Medium,Staging,Delhi DC,Active
AST07261,ORG00441,SRV-07261,Workstation 07261,Workstation,High,Staging,Hyderabad DC,Active
AST07262,ORG00116,SRV-07262,Workstation 07262,Workstation,Critical,Production,Mumbai DC,Active
AST07263,ORG00359,SRV-07263,Domain Controller 07263,Domain Controller,Critical,Staging,Delhi DC,Active
AST07264,ORG00955,SRV-07264,Application 07264,Application,Low,Staging,Bengaluru DC,Active
AST07265,ORG00589,SRV-07265,Cloud Instance 07265,Cloud Instance,High,Staging,Mumbai DC,Active
AST07266,ORG00853,SRV-07266,Application 07266,Application,Low,Staging,Delhi DC,Active
AST07267,ORG00655,SRV-07267,Firewall 07267,Firewall,Low,Development,Bengaluru DC,Active
AST07268,ORG00392,SRV-07268,Network Device 07268,Network Device,High,Production,Bengaluru DC,Active
AST07269,ORG00087,SRV-07269,Workstation 07269,Workstation,Critical,Staging,Hyderabad DC,Active
AST07270,ORG00724,SRV-07270,Firewall 07270,Firewall,High,Staging,Bengaluru DC,Active
AST07271,ORG00633,SRV-07271,Cloud Instance 07271,Cloud Instance,Critical,Staging,Delhi DC,Active
AST07272,ORG00168,SRV-07272,Domain Controller 07272,Domain Controller,High,Development,Mumbai DC,Active
AST07273,ORG00257,SRV-07273,Network Device 07273,Network Device,Critical,Development,Mumbai DC,Active
AST07274,ORG00097,SRV-07274,Network Device 07274,Network Device,Medium,Production,Hyderabad DC,Active
AST07275,ORG00465,SRV-07275,Domain Controller 07275,Domain Controller,Critical,Development,Pune DC,Active
AST07276,ORG00875,SRV-07276,Database 07276,Database,Medium,Staging,Pune DC,Active
AST07277,ORG00195,SRV-07277,Network Device 07277,Network Device,High,Development,Mumbai DC,Active
AST07278,ORG00131,SRV-07278,Firewall 07278,Firewall,Medium,Production,Delhi DC,Active
AST07279,ORG00021,SRV-07279,Server 07279,Server,Medium,Staging,Delhi DC,Active
AST07280,ORG00090,SRV-07280,Cloud Instance 07280,Cloud Instance,Low,Staging,Delhi DC,Active
AST07281,ORG00232,SRV-07281,Workstation 07281,Workstation,Medium,Development,Bengaluru DC,Active
AST07282,ORG00197,SRV-07282,Workstation 07282,Workstation,Low,Staging,Bengaluru DC,Maintenance
AST07283,ORG00364,SRV-07283,Firewall 07283,Firewall,Medium,Development,Bengaluru DC,Active
AST07284,ORG00652,SRV-07284,Domain Controller 07284,Domain Controller,Critical,Production,Bengaluru DC,Active
AST07285,ORG00575,SRV-07285,Application 07285,Application,High,Staging,Delhi DC,Active
AST07286,ORG00971,SRV-07286,Application 07286,Application,Medium,Development,Hyderabad DC,Active
AST07287,ORG00703,SRV-07287,Domain Controller 07287,Domain Controller,High,Staging,Delhi DC,Active
AST07288,ORG00440,SRV-07288,Workstation 07288,Workstation,Critical,Staging,Mumbai DC,Active
AST07289,ORG00912,SRV-07289,Application 07289,Application,Medium,Staging,Hyderabad DC,Active
AST07290,ORG00097,SRV-07290,Network Device 07290,Network Device,High,Production,Pune DC,Active
AST07291,ORG00025,SRV-07291,Database 07291,Database,Medium,Production,Delhi DC,Active
AST07292,ORG00344,SRV-07292,Domain Controller 07292,Domain Controller,High,Staging,Hyderabad DC,Active
AST07293,ORG00718,SRV-07293,Workstation 07293,Workstation,High,Development,Delhi DC,Active
AST07294,ORG00047,SRV-07294,Network Device 07294,Network Device,High,Production,Bengaluru DC,Active
AST07295,ORG00853,SRV-07295,Database 07295,Database,Critical,Staging,Mumbai DC,Active
AST07296,ORG00726,SRV-07296,Domain Controller 07296,Domain Controller,Medium,Production,Pune DC,Active
AST07297,ORG00469,SRV-07297,Database 07297,Database,High,Staging,Hyderabad DC,Active
AST07298,ORG00102,SRV-07298,Application 07298,Application,High,Production,Pune DC,Active
AST07299,ORG00053,SRV-07299,Firewall 07299,Firewall,High,Development,Pune DC,Active
AST07300,ORG00630,SRV-07300,Cloud Instance 07300,Cloud Instance,Critical,Staging,Pune DC,Active
AST07301,ORG00170,SRV-07301,Server 07301,Server,Medium,Development,Mumbai DC,Active
AST07302,ORG00489,SRV-07302,Cloud Instance 07302,Cloud Instance,Low,Development,Mumbai DC,Active
AST07303,ORG00594,SRV-07303,Cloud Instance 07303,Cloud Instance,High,Development,Mumbai DC,Active
AST07304,ORG00825,SRV-07304,Firewall 07304,Firewall,High,Development,Pune DC,Active
AST07305,ORG00557,SRV-07305,Server 07305,Server,Critical,Development,Pune DC,Active
AST07306,ORG00249,SRV-07306,Network Device 07306,Network Device,High,Staging,Delhi DC,Active
AST07307,ORG00137,SRV-07307,Network Device 07307,Network Device,Medium,Development,Bengaluru DC,Active
AST07308,ORG00702,SRV-07308,Application 07308,Application,High,Development,Mumbai DC,Active
AST07309,ORG00795,SRV-07309,Database 07309,Database,Medium,Development,Pune DC,Active
AST07310,ORG00297,SRV-07310,Domain Controller 07310,Domain Controller,Medium,Staging,Pune DC,Active
AST07311,ORG00084,SRV-07311,Workstation 07311,Workstation,Medium,Staging,Mumbai DC,Active
AST07312,ORG00163,SRV-07312,Server 07312,Server,High,Staging,Delhi DC,Active
AST07313,ORG00346,SRV-07313,Application 07313,Application,High,Production,Bengaluru DC,Active
AST07314,ORG00820,SRV-07314,Network Device 07314,Network Device,Critical,Production,Mumbai DC,Active
AST07315,ORG00756,SRV-07315,Application 07315,Application,Medium,Staging,Hyderabad DC,Active
AST07316,ORG00690,SRV-07316,Server 07316,Server,Critical,Development,Bengaluru DC,Active
AST07317,ORG00775,SRV-07317,Cloud Instance 07317,Cloud Instance,Critical,Staging,Delhi DC,Maintenance
AST07318,ORG00002,SRV-07318,Database 07318,Database,Low,Staging,Bengaluru DC,Active
AST07319,ORG00192,SRV-07319,Firewall 07319,Firewall,Medium,Production,Delhi DC,Active
AST07320,ORG00055,SRV-07320,Workstation 07320,Workstation,Medium,Staging,Pune DC,Active
AST07321,ORG00787,SRV-07321,Database 07321,Database,High,Staging,Delhi DC,Active
AST07322,ORG00490,SRV-07322,Domain Controller 07322,Domain Controller,Medium,Staging,Pune DC,Active
AST07323,ORG00094,SRV-07323,Network Device 07323,Network Device,Critical,Staging,Hyderabad DC,Active
AST07324,ORG00627,SRV-07324,Server 07324,Server,Medium,Development,Mumbai DC,Active
AST07325,ORG00961,SRV-07325,Domain Controller 07325,Domain Controller,Medium,Staging,Delhi DC,Active
AST07326,ORG00916,SRV-07326,Cloud Instance 07326,Cloud Instance,High,Staging,Pune DC,Active
AST07327,ORG00567,SRV-07327,Network Device 07327,Network Device,Low,Production,Pune DC,Active
AST07328,ORG00257,SRV-07328,Network Device 07328,Network Device,Critical,Development,Bengaluru DC,Active
AST07329,ORG00167,SRV-07329,Database 07329,Database,Medium,Staging,Pune DC,Active
AST07330,ORG00730,SRV-07330,Domain Controller 07330,Domain Controller,High,Development,Pune DC,Active
AST07331,ORG00608,SRV-07331,Application 07331,Application,Medium,Production,Pune DC,Active
AST07332,ORG00330,SRV-07332,Firewall 07332,Firewall,High,Staging,Hyderabad DC,Active
AST07333,ORG00671,SRV-07333,Cloud Instance 07333,Cloud Instance,High,Staging,Delhi DC,Active
AST07334,ORG00198,SRV-07334,Domain Controller 07334,Domain Controller,High,Staging,Mumbai DC,Active
AST07335,ORG00810,SRV-07335,Firewall 07335,Firewall,Low,Development,Hyderabad DC,Active
AST07336,ORG00226,SRV-07336,Domain Controller 07336,Domain Controller,Low,Development,Mumbai DC,Active
AST07337,ORG00092,SRV-07337,Cloud Instance 07337,Cloud Instance,Low,Staging,Delhi DC,Active
AST07338,ORG00215,SRV-07338,Workstation 07338,Workstation,Medium,Production,Mumbai DC,Inactive
AST07339,ORG00697,SRV-07339,Domain Controller 07339,Domain Controller,High,Staging,Hyderabad DC,Active
AST07340,ORG00244,SRV-07340,Network Device 07340,Network Device,Medium,Production,Delhi DC,Active
AST07341,ORG00336,SRV-07341,Database 07341,Database,Low,Development,Mumbai DC,Active
AST07342,ORG00164,SRV-07342,Application 07342,Application,Medium,Development,Mumbai DC,Active
AST07343,ORG00543,SRV-07343,Firewall 07343,Firewall,Low,Production,Hyderabad DC,Active
AST07344,ORG00431,SRV-07344,Workstation 07344,Workstation,High,Staging,Delhi DC,Active
AST07345,ORG00287,SRV-07345,Application 07345,Application,Medium,Development,Delhi DC,Active
AST07346,ORG00732,SRV-07346,Network Device 07346,Network Device,Medium,Staging,Mumbai DC,Active
AST07347,ORG00076,SRV-07347,Domain Controller 07347,Domain Controller,Medium,Production,Hyderabad DC,Active
AST07348,ORG00595,SRV-07348,Firewall 07348,Firewall,Medium,Development,Mumbai DC,Active
AST07349,ORG00461,SRV-07349,Workstation 07349,Workstation,High,Development,Pune DC,Active
AST07350,ORG00062,SRV-07350,Network Device 07350,Network Device,High,Development,Hyderabad DC,Active
AST07351,ORG00804,SRV-07351,Application 07351,Application,High,Development,Mumbai DC,Active
AST07352,ORG00492,SRV-07352,Workstation 07352,Workstation,Medium,Development,Delhi DC,Active
AST07353,ORG00308,SRV-07353,Domain Controller 07353,Domain Controller,Medium,Development,Delhi DC,Active
AST07354,ORG00273,SRV-07354,Network Device 07354,Network Device,Medium,Development,Pune DC,Active
AST07355,ORG00723,SRV-07355,Server 07355,Server,High,Staging,Mumbai DC,Active
AST07356,ORG00365,SRV-07356,Firewall 07356,Firewall,High,Development,Bengaluru DC,Active
AST07357,ORG00696,SRV-07357,Domain Controller 07357,Domain Controller,Low,Staging,Mumbai DC,Active
AST07358,ORG00228,SRV-07358,Database 07358,Database,Medium,Production,Mumbai DC,Active
AST07359,ORG00085,SRV-07359,Network Device 07359,Network Device,Medium,Development,Mumbai DC,Active
AST07360,ORG00980,SRV-07360,Application 07360,Application,High,Staging,Hyderabad DC,Active
AST07361,ORG00508,SRV-07361,Cloud Instance 07361,Cloud Instance,Medium,Development,Hyderabad DC,Active
AST07362,ORG00624,SRV-07362,Cloud Instance 07362,Cloud Instance,Medium,Development,Pune DC,Active
AST07363,ORG00489,SRV-07363,Database 07363,Database,Low,Production,Pune DC,Active
AST07364,ORG00650,SRV-07364,Database 07364,Database,High,Staging,Mumbai DC,Active
AST07365,ORG00281,SRV-07365,Application 07365,Application,Critical,Development,Hyderabad DC,Active
AST07366,ORG00298,SRV-07366,Firewall 07366,Firewall,Medium,Production,Delhi DC,Active
AST07367,ORG00927,SRV-07367,Cloud Instance 07367,Cloud Instance,Low,Development,Hyderabad DC,Active
AST07368,ORG00832,SRV-07368,Cloud Instance 07368,Cloud Instance,Critical,Production,Mumbai DC,Active
AST07369,ORG00069,SRV-07369,Application 07369,Application,Medium,Staging,Delhi DC,Active
AST07370,ORG00629,SRV-07370,Server 07370,Server,Medium,Production,Hyderabad DC,Active
AST07371,ORG00709,SRV-07371,Application 07371,Application,Medium,Development,Hyderabad DC,Active
AST07372,ORG00488,SRV-07372,Domain Controller 07372,Domain Controller,High,Production,Mumbai DC,Active
AST07373,ORG00946,SRV-07373,Network Device 07373,Network Device,Medium,Staging,Delhi DC,Active
AST07374,ORG00749,SRV-07374,Firewall 07374,Firewall,Low,Staging,Mumbai DC,Inactive
AST07375,ORG00157,SRV-07375,Database 07375,Database,Medium,Production,Pune DC,Active
AST07376,ORG00057,SRV-07376,Database 07376,Database,High,Development,Mumbai DC,Active
AST07377,ORG00293,SRV-07377,Cloud Instance 07377,Cloud Instance,High,Staging,Mumbai DC,Active
AST07378,ORG00985,SRV-07378,Application 07378,Application,High,Staging,Hyderabad DC,Active
AST07379,ORG00276,SRV-07379,Database 07379,Database,Medium,Staging,Mumbai DC,Active
AST07380,ORG00094,SRV-07380,Domain Controller 07380,Domain Controller,Medium,Staging,Delhi DC,Active
AST07381,ORG00403,SRV-07381,Database 07381,Database,Medium,Staging,Hyderabad DC,Active
AST07382,ORG00331,SRV-07382,Firewall 07382,Firewall,Medium,Production,Hyderabad DC,Active
AST07383,ORG00618,SRV-07383,Cloud Instance 07383,Cloud Instance,High,Development,Hyderabad DC,Active
AST07384,ORG00793,SRV-07384,Application 07384,Application,High,Staging,Bengaluru DC,Active
AST07385,ORG00255,SRV-07385,Domain Controller 07385,Domain Controller,High,Staging,Pune DC,Active
AST07386,ORG00263,SRV-07386,Cloud Instance 07386,Cloud Instance,Medium,Development,Hyderabad DC,Active
AST07387,ORG00530,SRV-07387,Application 07387,Application,Critical,Production,Hyderabad DC,Active
AST07388,ORG00954,SRV-07388,Database 07388,Database,High,Production,Mumbai DC,Active
AST07389,ORG00017,SRV-07389,Cloud Instance 07389,Cloud Instance,Medium,Production,Hyderabad DC,Active
AST07390,ORG00306,SRV-07390,Application 07390,Application,Low,Production,Hyderabad DC,Active
AST07391,ORG00810,SRV-07391,Server 07391,Server,High,Staging,Hyderabad DC,Active
AST07392,ORG00555,SRV-07392,Network Device 07392,Network Device,High,Production,Bengaluru DC,Maintenance
AST07393,ORG00110,SRV-07393,Workstation 07393,Workstation,Critical,Staging,Delhi DC,Active
AST07394,ORG00442,SRV-07394,Application 07394,Application,High,Production,Mumbai DC,Active
AST07395,ORG00967,SRV-07395,Database 07395,Database,Low,Production,Pune DC,Active
AST07396,ORG00311,SRV-07396,Network Device 07396,Network Device,High,Production,Mumbai DC,Active
AST07397,ORG00245,SRV-07397,Firewall 07397,Firewall,Critical,Staging,Hyderabad DC,Active
AST07398,ORG00160,SRV-07398,Application 07398,Application,Critical,Production,Bengaluru DC,Maintenance
AST07399,ORG00477,SRV-07399,Workstation 07399,Workstation,Critical,Staging,Pune DC,Active
AST07400,ORG00399,SRV-07400,Network Device 07400,Network Device,Medium,Staging,Mumbai DC,Active
AST07401,ORG00198,SRV-07401,Application 07401,Application,High,Development,Mumbai DC,Active
AST07402,ORG00248,SRV-07402,Server 07402,Server,Medium,Development,Pune DC,Active
AST07403,ORG00135,SRV-07403,Application 07403,Application,Medium,Staging,Hyderabad DC,Active
AST07404,ORG00591,SRV-07404,Cloud Instance 07404,Cloud Instance,High,Development,Delhi DC,Active
AST07405,ORG00620,SRV-07405,Domain Controller 07405,Domain Controller,Medium,Development,Delhi DC,Active
AST07406,ORG00557,SRV-07406,Server 07406,Server,Critical,Staging,Pune DC,Active
AST07407,ORG00645,SRV-07407,Firewall 07407,Firewall,High,Development,Delhi DC,Active
AST07408,ORG00286,SRV-07408,Domain Controller 07408,Domain Controller,Medium,Development,Pune DC,Active
AST07409,ORG00477,SRV-07409,Firewall 07409,Firewall,High,Development,Hyderabad DC,Inactive
AST07410,ORG00517,SRV-07410,Network Device 07410,Network Device,High,Development,Pune DC,Active
AST07411,ORG00410,SRV-07411,Application 07411,Application,Critical,Staging,Hyderabad DC,Active
AST07412,ORG00326,SRV-07412,Application 07412,Application,Low,Development,Pune DC,Active
AST07413,ORG00180,SRV-07413,Workstation 07413,Workstation,High,Production,Hyderabad DC,Active
AST07414,ORG00392,SRV-07414,Application 07414,Application,High,Development,Pune DC,Active
AST07415,ORG00402,SRV-07415,Workstation 07415,Workstation,Medium,Development,Pune DC,Active
AST07416,ORG00502,SRV-07416,Domain Controller 07416,Domain Controller,High,Staging,Bengaluru DC,Active
AST07417,ORG00859,SRV-07417,Application 07417,Application,High,Production,Bengaluru DC,Active
AST07418,ORG00342,SRV-07418,Database 07418,Database,Low,Production,Hyderabad DC,Active
AST07419,ORG00155,SRV-07419,Workstation 07419,Workstation,Medium,Development,Mumbai DC,Active
AST07420,ORG00616,SRV-07420,Firewall 07420,Firewall,Medium,Production,Mumbai DC,Active
AST07421,ORG00350,SRV-07421,Domain Controller 07421,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST07422,ORG00679,SRV-07422,Application 07422,Application,Low,Production,Bengaluru DC,Active
AST07423,ORG00204,SRV-07423,Network Device 07423,Network Device,Medium,Production,Hyderabad DC,Maintenance
AST07424,ORG00256,SRV-07424,Application 07424,Application,Medium,Staging,Mumbai DC,Active
AST07425,ORG00042,SRV-07425,Server 07425,Server,Medium,Production,Pune DC,Inactive
AST07426,ORG00186,SRV-07426,Cloud Instance 07426,Cloud Instance,High,Production,Delhi DC,Active
AST07427,ORG00944,SRV-07427,Workstation 07427,Workstation,High,Development,Bengaluru DC,Active
AST07428,ORG00594,SRV-07428,Domain Controller 07428,Domain Controller,Low,Staging,Mumbai DC,Active
AST07429,ORG00882,SRV-07429,Database 07429,Database,High,Production,Mumbai DC,Active
AST07430,ORG00215,SRV-07430,Firewall 07430,Firewall,Low,Development,Pune DC,Active
AST07431,ORG00460,SRV-07431,Firewall 07431,Firewall,Low,Staging,Delhi DC,Active
AST07432,ORG00760,SRV-07432,Domain Controller 07432,Domain Controller,Medium,Development,Hyderabad DC,Active
AST07433,ORG00963,SRV-07433,Database 07433,Database,Critical,Development,Pune DC,Active
AST07434,ORG00424,SRV-07434,Server 07434,Server,Medium,Production,Bengaluru DC,Active
AST07435,ORG00613,SRV-07435,Database 07435,Database,Low,Production,Mumbai DC,Active
AST07436,ORG00875,SRV-07436,Domain Controller 07436,Domain Controller,Low,Staging,Bengaluru DC,Active
AST07437,ORG00302,SRV-07437,Application 07437,Application,High,Development,Pune DC,Active
AST07438,ORG00456,SRV-07438,Firewall 07438,Firewall,High,Staging,Bengaluru DC,Active
AST07439,ORG00899,SRV-07439,Server 07439,Server,Critical,Production,Bengaluru DC,Active
AST07440,ORG00184,SRV-07440,Workstation 07440,Workstation,Medium,Production,Bengaluru DC,Active
AST07441,ORG00024,SRV-07441,Network Device 07441,Network Device,High,Production,Pune DC,Active
AST07442,ORG00909,SRV-07442,Workstation 07442,Workstation,Critical,Development,Hyderabad DC,Active
AST07443,ORG00905,SRV-07443,Database 07443,Database,Medium,Development,Hyderabad DC,Active
AST07444,ORG00901,SRV-07444,Domain Controller 07444,Domain Controller,High,Development,Hyderabad DC,Active
AST07445,ORG00651,SRV-07445,Database 07445,Database,Medium,Development,Mumbai DC,Inactive
AST07446,ORG00223,SRV-07446,Application 07446,Application,High,Production,Bengaluru DC,Active
AST07447,ORG00034,SRV-07447,Firewall 07447,Firewall,Critical,Production,Mumbai DC,Active
AST07448,ORG00340,SRV-07448,Server 07448,Server,High,Staging,Delhi DC,Active
AST07449,ORG00526,SRV-07449,Application 07449,Application,Low,Development,Delhi DC,Active
AST07450,ORG00107,SRV-07450,Network Device 07450,Network Device,Medium,Development,Delhi DC,Maintenance
AST07451,ORG00704,SRV-07451,Firewall 07451,Firewall,High,Development,Bengaluru DC,Active
AST07452,ORG00116,SRV-07452,Firewall 07452,Firewall,Medium,Development,Hyderabad DC,Active
AST07453,ORG00130,SRV-07453,Domain Controller 07453,Domain Controller,Low,Development,Bengaluru DC,Active
AST07454,ORG00971,SRV-07454,Network Device 07454,Network Device,Medium,Staging,Mumbai DC,Active
AST07455,ORG00398,SRV-07455,Domain Controller 07455,Domain Controller,Medium,Staging,Pune DC,Inactive
AST07456,ORG00833,SRV-07456,Server 07456,Server,High,Production,Delhi DC,Active
AST07457,ORG00509,SRV-07457,Firewall 07457,Firewall,Medium,Staging,Mumbai DC,Active
AST07458,ORG00657,SRV-07458,Workstation 07458,Workstation,Low,Production,Pune DC,Active
AST07459,ORG00395,SRV-07459,Cloud Instance 07459,Cloud Instance,High,Staging,Pune DC,Maintenance
AST07460,ORG00695,SRV-07460,Cloud Instance 07460,Cloud Instance,High,Production,Hyderabad DC,Active
AST07461,ORG00073,SRV-07461,Domain Controller 07461,Domain Controller,Medium,Development,Delhi DC,Active
AST07462,ORG00353,SRV-07462,Domain Controller 07462,Domain Controller,Medium,Production,Delhi DC,Active
AST07463,ORG00642,SRV-07463,Network Device 07463,Network Device,Low,Production,Mumbai DC,Active
AST07464,ORG00618,SRV-07464,Domain Controller 07464,Domain Controller,Medium,Staging,Mumbai DC,Active
AST07465,ORG00256,SRV-07465,Workstation 07465,Workstation,High,Production,Hyderabad DC,Active
AST07466,ORG00812,SRV-07466,Cloud Instance 07466,Cloud Instance,Critical,Production,Mumbai DC,Active
AST07467,ORG00373,SRV-07467,Network Device 07467,Network Device,Medium,Production,Pune DC,Active
AST07468,ORG00158,SRV-07468,Cloud Instance 07468,Cloud Instance,High,Staging,Pune DC,Active
AST07469,ORG00870,SRV-07469,Cloud Instance 07469,Cloud Instance,Low,Development,Delhi DC,Active
AST07470,ORG00673,SRV-07470,Server 07470,Server,Low,Staging,Delhi DC,Active
AST07471,ORG00665,SRV-07471,Cloud Instance 07471,Cloud Instance,Low,Staging,Bengaluru DC,Active
AST07472,ORG00298,SRV-07472,Workstation 07472,Workstation,Low,Development,Pune DC,Active
AST07473,ORG00791,SRV-07473,Database 07473,Database,Low,Production,Mumbai DC,Active
AST07474,ORG00170,SRV-07474,Domain Controller 07474,Domain Controller,Medium,Development,Mumbai DC,Active
AST07475,ORG00031,SRV-07475,Database 07475,Database,Critical,Production,Hyderabad DC,Active
AST07476,ORG00144,SRV-07476,Application 07476,Application,Low,Production,Delhi DC,Active
AST07477,ORG00348,SRV-07477,Domain Controller 07477,Domain Controller,High,Development,Mumbai DC,Active
AST07478,ORG00737,SRV-07478,Workstation 07478,Workstation,High,Staging,Delhi DC,Maintenance
AST07479,ORG00179,SRV-07479,Application 07479,Application,Medium,Staging,Hyderabad DC,Active
AST07480,ORG00850,SRV-07480,Database 07480,Database,Critical,Development,Delhi DC,Active
AST07481,ORG00298,SRV-07481,Cloud Instance 07481,Cloud Instance,Critical,Production,Mumbai DC,Active
AST07482,ORG00443,SRV-07482,Database 07482,Database,High,Staging,Hyderabad DC,Active
AST07483,ORG00785,SRV-07483,Network Device 07483,Network Device,Critical,Staging,Pune DC,Active
AST07484,ORG00173,SRV-07484,Application 07484,Application,Medium,Production,Pune DC,Active
AST07485,ORG00167,SRV-07485,Application 07485,Application,High,Development,Bengaluru DC,Active
AST07486,ORG00609,SRV-07486,Application 07486,Application,Low,Staging,Mumbai DC,Active
AST07487,ORG00709,SRV-07487,Network Device 07487,Network Device,Critical,Development,Delhi DC,Active
AST07488,ORG00659,SRV-07488,Workstation 07488,Workstation,Medium,Development,Bengaluru DC,Inactive
AST07489,ORG00423,SRV-07489,Firewall 07489,Firewall,Critical,Staging,Mumbai DC,Active
AST07490,ORG00480,SRV-07490,Server 07490,Server,High,Production,Delhi DC,Active
AST07491,ORG00181,SRV-07491,Workstation 07491,Workstation,Critical,Staging,Delhi DC,Active
AST07492,ORG00988,SRV-07492,Network Device 07492,Network Device,Medium,Development,Bengaluru DC,Active
AST07493,ORG00614,SRV-07493,Server 07493,Server,High,Development,Pune DC,Active
AST07494,ORG00891,SRV-07494,Database 07494,Database,Critical,Production,Bengaluru DC,Active
AST07495,ORG00181,SRV-07495,Firewall 07495,Firewall,Critical,Staging,Pune DC,Active
AST07496,ORG00471,SRV-07496,Cloud Instance 07496,Cloud Instance,Medium,Staging,Delhi DC,Active
AST07497,ORG00669,SRV-07497,Server 07497,Server,Medium,Development,Pune DC,Active
AST07498,ORG00604,SRV-07498,Domain Controller 07498,Domain Controller,Medium,Production,Mumbai DC,Active
AST07499,ORG00493,SRV-07499,Server 07499,Server,Medium,Staging,Delhi DC,Active
AST07500,ORG00641,SRV-07500,Database 07500,Database,High,Staging,Hyderabad DC,Active
AST07501,ORG00074,SRV-07501,Network Device 07501,Network Device,Medium,Production,Mumbai DC,Active
AST07502,ORG00904,SRV-07502,Database 07502,Database,High,Development,Pune DC,Active
AST07503,ORG00002,SRV-07503,Server 07503,Server,High,Production,Delhi DC,Active
AST07504,ORG00862,SRV-07504,Database 07504,Database,Medium,Development,Bengaluru DC,Active
AST07505,ORG00448,SRV-07505,Domain Controller 07505,Domain Controller,High,Production,Pune DC,Active
AST07506,ORG00429,SRV-07506,Database 07506,Database,High,Development,Pune DC,Active
AST07507,ORG00536,SRV-07507,Application 07507,Application,Medium,Development,Mumbai DC,Active
AST07508,ORG00461,SRV-07508,Network Device 07508,Network Device,Medium,Staging,Bengaluru DC,Active
AST07509,ORG00529,SRV-07509,Cloud Instance 07509,Cloud Instance,High,Development,Pune DC,Active
AST07510,ORG00403,SRV-07510,Domain Controller 07510,Domain Controller,Critical,Staging,Hyderabad DC,Active
AST07511,ORG00993,SRV-07511,Network Device 07511,Network Device,Low,Production,Mumbai DC,Active
AST07512,ORG00249,SRV-07512,Network Device 07512,Network Device,Critical,Development,Bengaluru DC,Active
