investigation_id,alert_id,analyst_id,started_at,completed_at,duration_minutes,actions_performed,queries_executed,evidence_reviewed,investigation_notes,findings,escalation_decision
INV02498,ALT02498,AN19872,2026-09-02 08:59:52,2026-09-02 10:06:52,67,Reviewed authentication logs; checked source IP,10,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV02499,ALT02499,AN21059,2026-08-19 03:14:59,2026-08-19 04:29:59,75,Reviewed authentication logs; checked source IP,5,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV02500,ALT02500,AN06012,2026-08-19 06:20:38,2026-08-19 07:10:38,50,Reviewed authentication logs; checked source IP,7,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02501,ALT02501,AN19724,2026-09-07 08:29:48,2026-09-07 08:42:48,13,Reviewed endpoint logs; analyzed process tree,5,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV02502,ALT02502,AN07023,2026-09-06 06:10:20,2026-09-06 06:24:20,14,Checked threat intelligence and historical activity,9,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02503,ALT02503,AN24252,2026-08-12 00:42:25,2026-08-12 01:31:25,49,Reviewed authentication logs; checked source IP,12,No,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02504,ALT02504,AN06800,2026-08-23 09:42:56,2026-08-23 10:13:56,31,Reviewed authentication logs; checked source IP,7,No,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02505,ALT02505,AN13501,2026-08-13 09:55:53,2026-08-13 11:42:53,107,Checked threat intelligence and historical activity,5,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV02506,ALT02506,AN14996,2026-08-24 03:37:50,2026-08-24 05:06:50,89,Reviewed authentication logs; checked source IP,11,No,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02507,ALT02507,AN00868,2026-08-19 19:47:53,2026-08-19 21:29:53,102,Checked threat intelligence and historical activity,2,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV02508,ALT02508,AN15160,2026-08-19 05:43:22,2026-08-19 06:01:22,18,Checked threat intelligence and historical activity,11,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02509,ALT02509,AN13791,2026-09-02 09:34:22,2026-09-02 11:31:22,117,Checked threat intelligence and historical activity,10,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02510,ALT02510,AN00403,2026-08-20 04:08:29,2026-08-20 04:20:29,12,Reviewed endpoint logs; analyzed process tree,11,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV02511,ALT02511,AN24781,2026-09-08 19:40:50,2026-09-08 20:21:50,41,Reviewed authentication logs; checked source IP,4,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02512,ALT02512,AN05395,2026-08-29 02:03:13,2026-08-29 04:03:13,120,Reviewed authentication logs; checked source IP,7,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV02513,ALT02513,AN14311,2026-08-10 01:30:32,2026-08-10 01:56:32,26,Reviewed endpoint logs; analyzed process tree,6,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV02514,ALT02514,AN01236,2026-09-04 03:20:54,2026-09-04 03:41:54,21,Reviewed authentication logs; checked source IP,5,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02515,ALT02515,AN19326,2026-08-16 22:06:08,2026-08-16 23:26:08,80,"Correlated SIEM, firewall and endpoint telemetry",10,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV02516,ALT02516,AN17520,2026-09-08 11:31:55,2026-09-08 11:52:55,21,Reviewed endpoint logs; analyzed process tree,5,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV02517,ALT02517,AN02258,2026-09-05 06:54:46,2026-09-05 07:32:46,38,Reviewed endpoint logs; analyzed process tree,11,Yes,Investigated user activity and historical baseline.,Benign activity,Yes
INV02518,ALT02518,AN16556,2026-08-25 11:12:58,2026-08-25 11:50:58,38,Reviewed endpoint logs; analyzed process tree,7,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV02519,ALT02519,AN24418,2026-08-12 18:43:44,2026-08-12 19:31:44,48,Checked threat intelligence and historical activity,10,No,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02520,ALT02520,AN13026,2026-08-10 09:23:51,2026-08-10 09:52:51,29,Reviewed endpoint logs; analyzed process tree,6,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02521,ALT02521,AN16907,2026-08-11 09:44:19,2026-08-11 10:11:19,27,Reviewed authentication logs; checked source IP,2,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV02522,ALT02522,AN11566,2026-08-09 14:54:52,2026-08-09 16:07:52,73,Reviewed authentication logs; checked source IP,3,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV02523,ALT02523,AN20161,2026-08-01 19:45:38,2026-08-01 21:00:38,75,Reviewed authentication logs; checked source IP,7,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV02524,ALT02524,AN03625,2026-09-01 02:03:41,2026-09-01 04:00:41,117,Reviewed endpoint logs; analyzed process tree,4,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV02525,ALT02525,AN16806,2026-08-05 10:34:24,2026-08-05 10:54:24,20,Reviewed endpoint logs; analyzed process tree,10,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV02526,ALT02526,AN20442,2026-08-16 14:09:00,2026-08-16 14:16:00,7,"Correlated SIEM, firewall and endpoint telemetry",8,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV02527,ALT02527,AN07151,2026-08-27 02:57:03,2026-08-27 03:08:03,11,Reviewed endpoint logs; analyzed process tree,6,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV02528,ALT02528,AN18362,2026-08-17 07:55:10,2026-08-17 08:28:10,33,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV02529,ALT02529,AN23543,2026-08-28 16:26:02,2026-08-28 17:00:02,34,Reviewed endpoint logs; analyzed process tree,7,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV02530,ALT02530,AN23095,2026-08-23 21:37:32,2026-08-23 22:11:32,34,Reviewed authentication logs; checked source IP,4,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02531,ALT02531,AN04733,2026-08-13 02:22:14,2026-08-13 02:52:14,30,Checked threat intelligence and historical activity,5,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV02532,ALT02532,AN18243,2026-08-20 04:40:56,2026-08-20 05:02:56,22,Reviewed authentication logs; checked source IP,9,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02533,ALT02533,AN21235,2026-09-09 19:44:15,2026-09-09 20:33:15,49,Checked threat intelligence and historical activity,9,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV02534,ALT02534,AN08445,2026-08-30 08:01:17,2026-08-30 08:34:17,33,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV02535,ALT02535,AN21656,2026-09-03 19:27:40,2026-09-03 20:04:40,37,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV02536,ALT02536,AN23015,2026-08-17 03:47:13,2026-08-17 05:41:13,114,Checked threat intelligence and historical activity,7,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02537,ALT02537,AN10763,2026-08-15 16:52:48,2026-08-15 17:50:48,58,"Correlated SIEM, firewall and endpoint telemetry",11,No,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV02538,ALT02538,AN21085,2026-08-31 02:08:39,2026-08-31 04:04:39,116,Reviewed authentication logs; checked source IP,8,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV02539,ALT02539,AN05749,2026-08-27 03:42:01,2026-08-27 04:39:01,57,"Correlated SIEM, firewall and endpoint telemetry",2,No,Reviewed authentication logs and source IP.,Benign activity,No
INV02540,ALT02540,AN07916,2026-08-18 18:38:35,2026-08-18 18:50:35,12,Reviewed authentication logs; checked source IP,4,No,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02541,ALT02541,AN06981,2026-08-30 15:05:00,2026-08-30 15:43:00,38,Reviewed authentication logs; checked source IP,8,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV02542,ALT02542,AN09165,2026-08-26 02:30:00,2026-08-26 03:09:00,39,Reviewed authentication logs; checked source IP,5,Yes,Reviewed authentication logs and source IP.,Benign activity,No
INV02543,ALT02543,AN05462,2026-08-01 22:31:10,2026-08-01 22:37:10,6,Reviewed endpoint logs; analyzed process tree,2,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02544,ALT02544,AN24897,2026-08-12 16:01:59,2026-08-12 16:23:59,22,Reviewed authentication logs; checked source IP,5,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV02545,ALT02545,AN16121,2026-09-08 20:14:59,2026-09-08 20:22:59,8,Checked threat intelligence and historical activity,10,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02546,ALT02546,AN14331,2026-08-22 18:32:49,2026-08-22 18:46:49,14,Reviewed endpoint logs; analyzed process tree,7,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV02547,ALT02547,AN10360,2026-08-06 21:37:14,2026-08-06 21:55:14,18,"Correlated SIEM, firewall and endpoint telemetry",9,No,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV02548,ALT02548,AN13840,2026-08-04 15:41:18,2026-08-04 16:07:18,26,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02549,ALT02549,AN07855,2026-08-21 20:19:14,2026-08-21 21:23:14,64,Reviewed endpoint logs; analyzed process tree,6,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV02550,ALT02550,AN01965,2026-08-08 15:40:00,2026-08-08 15:57:00,17,Reviewed endpoint logs; analyzed process tree,9,No,Reviewed authentication logs and source IP.,Benign activity,No
INV02551,ALT02551,AN16289,2026-08-28 09:24:37,2026-08-28 09:45:37,21,Reviewed endpoint logs; analyzed process tree,3,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV02552,ALT02552,AN19566,2026-08-14 06:27:39,2026-08-14 07:18:39,51,Reviewed endpoint logs; analyzed process tree,8,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02553,ALT02553,AN09882,2026-09-06 05:25:20,2026-09-06 05:55:20,30,Reviewed authentication logs; checked source IP,6,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV02554,ALT02554,AN07623,2026-08-13 21:54:17,2026-08-13 22:08:17,14,"Correlated SIEM, firewall and endpoint telemetry",5,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV02555,ALT02555,AN22464,2026-09-09 12:26:31,2026-09-09 14:12:31,106,Checked threat intelligence and historical activity,7,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02556,ALT02556,AN10323,2026-08-14 12:20:36,2026-08-14 13:52:36,92,"Correlated SIEM, firewall and endpoint telemetry",11,Yes,Investigated user activity and historical baseline.,Benign activity,Yes
INV02557,ALT02557,AN22033,2026-08-19 16:31:41,2026-08-19 16:59:41,28,Reviewed authentication logs; checked source IP,10,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV02558,ALT02558,AN02414,2026-08-03 23:45:52,2026-08-04 00:05:52,20,Checked threat intelligence and historical activity,7,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02559,ALT02559,AN21643,2026-08-22 22:11:33,2026-08-22 22:31:33,20,Reviewed authentication logs; checked source IP,4,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV02560,ALT02560,AN09810,2026-09-03 01:40:01,2026-09-03 02:08:01,28,"Correlated SIEM, firewall and endpoint telemetry",5,No,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV02561,ALT02561,AN08141,2026-09-03 16:10:28,2026-09-03 16:36:28,26,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV02562,ALT02562,AN01746,2026-08-27 16:12:38,2026-08-27 16:36:38,24,Reviewed authentication logs; checked source IP,6,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02563,ALT02563,AN15640,2026-08-12 09:09:20,2026-08-12 09:24:20,15,Reviewed endpoint logs; analyzed process tree,7,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV02564,ALT02564,AN11609,2026-08-09 15:24:47,2026-08-09 15:59:47,35,"Correlated SIEM, firewall and endpoint telemetry",2,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02565,ALT02565,AN17270,2026-09-01 23:55:12,2026-09-02 00:41:12,46,Reviewed authentication logs; checked source IP,6,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02566,ALT02566,AN22494,2026-08-08 07:24:53,2026-08-08 07:33:53,9,Reviewed endpoint logs; analyzed process tree,7,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02567,ALT02567,AN20908,2026-08-27 19:47:46,2026-08-27 20:43:46,56,Reviewed authentication logs; checked source IP,7,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV02568,ALT02568,AN04781,2026-08-28 12:45:00,2026-08-28 13:26:00,41,"Correlated SIEM, firewall and endpoint telemetry",6,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02569,ALT02569,AN14262,2026-08-16 09:29:27,2026-08-16 11:05:27,96,Reviewed authentication logs; checked source IP,5,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV02570,ALT02570,AN19142,2026-09-03 03:29:31,2026-09-03 04:02:31,33,"Correlated SIEM, firewall and endpoint telemetry",5,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV02571,ALT02571,AN20169,2026-08-22 08:25:37,2026-08-22 09:14:37,49,Checked threat intelligence and historical activity,11,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV02572,ALT02572,AN07901,2026-09-04 18:16:24,2026-09-04 18:27:24,11,Reviewed endpoint logs; analyzed process tree,2,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02573,ALT02573,AN03650,2026-09-02 21:24:29,2026-09-02 21:47:29,23,Reviewed endpoint logs; analyzed process tree,4,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV02574,ALT02574,AN05370,2026-09-03 11:01:56,2026-09-03 11:43:56,42,Reviewed authentication logs; checked source IP,2,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV02575,ALT02575,AN20514,2026-09-02 16:04:51,2026-09-02 17:55:51,111,Checked threat intelligence and historical activity,5,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02576,ALT02576,AN08855,2026-08-19 09:36:14,2026-08-19 09:56:14,20,Reviewed endpoint logs; analyzed process tree,8,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV02577,ALT02577,AN21629,2026-08-24 07:39:20,2026-08-24 09:43:20,124,"Correlated SIEM, firewall and endpoint telemetry",2,No,Reviewed authentication logs and source IP.,Benign activity,No
INV02578,ALT02578,AN18711,2026-08-23 06:16:27,2026-08-23 06:58:27,42,Reviewed endpoint logs; analyzed process tree,7,Yes,Reviewed authentication logs and source IP.,Benign activity,No
INV02579,ALT02579,AN00874,2026-08-01 21:25:35,2026-08-01 21:28:35,3,"Correlated SIEM, firewall and endpoint telemetry",10,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02580,ALT02580,AN03349,2026-08-04 14:52:39,2026-08-04 14:57:39,5,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Reviewed authentication logs and source IP.,Benign activity,No
INV02581,ALT02581,AN18157,2026-09-09 08:21:14,2026-09-09 10:17:14,116,Checked threat intelligence and historical activity,7,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,No
INV02582,ALT02582,AN10755,2026-08-21 04:40:27,2026-08-21 06:25:27,105,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV02583,ALT02583,AN13283,2026-08-17 03:59:10,2026-08-17 05:52:10,113,Reviewed authentication logs; checked source IP,5,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV02584,ALT02584,AN02376,2026-09-08 15:47:09,2026-09-08 16:06:09,19,"Correlated SIEM, firewall and endpoint telemetry",12,No,Reviewed authentication logs and source IP.,Benign activity,No
INV02585,ALT02585,AN14205,2026-08-09 19:54:27,2026-08-09 20:16:27,22,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV02586,ALT02586,AN12644,2026-09-09 13:49:54,2026-09-09 15:39:54,110,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02587,ALT02587,AN01385,2026-09-03 14:35:13,2026-09-03 14:54:13,19,Reviewed endpoint logs; analyzed process tree,11,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV02588,ALT02588,AN03347,2026-08-08 01:12:00,2026-08-08 01:38:00,26,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV02589,ALT02589,AN16098,2026-09-08 13:23:03,2026-09-08 13:59:03,36,"Correlated SIEM, firewall and endpoint telemetry",9,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV02590,ALT02590,AN11572,2026-09-09 01:50:59,2026-09-09 02:07:59,17,Reviewed authentication logs; checked source IP,11,No,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV02591,ALT02591,AN16505,2026-08-01 19:25:22,2026-08-01 19:40:22,15,Reviewed authentication logs; checked source IP,9,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02592,ALT02592,AN04375,2026-08-05 00:31:29,2026-08-05 00:50:29,19,Reviewed authentication logs; checked source IP,5,No,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV02593,ALT02593,AN05449,2026-08-23 23:38:51,2026-08-24 00:01:51,23,Reviewed endpoint logs; analyzed process tree,11,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV02594,ALT02594,AN12061,2026-09-05 16:13:57,2026-09-05 16:45:57,32,Checked threat intelligence and historical activity,12,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV02595,ALT02595,AN23066,2026-09-03 13:07:08,2026-09-03 13:22:08,15,Checked threat intelligence and historical activity,11,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV02596,ALT02596,AN06008,2026-08-21 22:02:26,2026-08-21 22:10:26,8,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV02597,ALT02597,AN00394,2026-08-06 03:00:48,2026-08-06 03:21:48,21,Reviewed authentication logs; checked source IP,5,No,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV02598,ALT02598,AN10052,2026-08-26 07:16:19,2026-08-26 07:28:19,12,Reviewed authentication logs; checked source IP,12,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02599,ALT02599,AN01477,2026-08-05 17:50:56,2026-08-05 18:17:56,27,Reviewed authentication logs; checked source IP,10,No,Investigated user activity and historical baseline.,Likely false positive,No
INV02600,ALT02600,AN08405,2026-09-07 05:17:18,2026-09-07 05:37:18,20,Reviewed endpoint logs; analyzed process tree,12,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02601,ALT02601,AN18719,2026-08-31 13:05:49,2026-08-31 13:14:49,9,Reviewed authentication logs; checked source IP,12,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
INV02602,ALT02602,AN11255,2026-09-07 15:23:47,2026-09-07 15:59:47,36,Reviewed endpoint logs; analyzed process tree,9,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV02603,ALT02603,AN10506,2026-08-25 20:14:46,2026-08-25 20:19:46,5,Checked alert,1,No,Reviewed.,No further action,No
INV02604,ALT02604,AN11262,2026-08-14 10:26:00,2026-08-14 10:43:00,17,Reviewed endpoint logs; analyzed process tree,8,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV02605,ALT02605,AN02265,2026-08-07 20:01:36,2026-08-07 20:35:36,34,Reviewed authentication logs; checked source IP,7,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02606,ALT02606,AN20941,2026-08-15 08:33:37,2026-08-15 10:24:37,111,"Correlated SIEM, firewall and endpoint telemetry",8,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV02607,ALT02607,AN08224,2026-08-01 03:46:42,2026-08-01 04:04:42,18,Checked threat intelligence and historical activity,3,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV02608,ALT02608,AN15157,2026-08-16 13:18:53,2026-08-16 14:19:53,61,Reviewed authentication logs; checked source IP,6,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV02609,ALT02609,AN20513,2026-08-09 16:38:33,2026-08-09 16:49:33,11,Checked threat intelligence and historical activity,8,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV02610,ALT02610,AN16430,2026-08-17 21:43:07,2026-08-17 22:02:07,19,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV02611,ALT02611,AN24890,2026-08-30 21:18:30,2026-08-30 21:43:30,25,"Correlated SIEM, firewall and endpoint telemetry",10,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV02612,ALT02612,AN07997,2026-08-02 02:19:07,2026-08-02 03:24:07,65,Reviewed endpoint logs; analyzed process tree,11,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02613,ALT02613,AN03244,2026-08-06 20:13:14,2026-08-06 20:27:14,14,"Correlated SIEM, firewall and endpoint telemetry",11,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV02614,ALT02614,AN16551,2026-08-07 17:34:02,2026-08-07 19:00:02,86,"Correlated SIEM, firewall and endpoint telemetry",4,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02615,ALT02615,AN23892,2026-08-18 22:28:33,2026-08-19 00:13:33,105,Checked threat intelligence and historical activity,12,No,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV02616,ALT02616,AN02528,2026-08-09 03:36:35,2026-08-09 05:59:35,143,Reviewed endpoint logs; analyzed process tree,2,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV02617,ALT02617,AN05448,2026-08-26 03:50:30,2026-08-26 04:05:30,15,Checked threat intelligence and historical activity,12,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV02618,ALT02618,AN16123,2026-08-14 11:04:39,2026-08-14 11:21:39,17,Reviewed endpoint logs; analyzed process tree,5,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV02619,ALT02619,AN06654,2026-08-30 23:14:54,2026-08-30 23:55:54,41,Checked threat intelligence and historical activity,6,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02620,ALT02620,AN16954,2026-08-29 03:53:46,2026-08-29 04:53:46,60,Reviewed endpoint logs; analyzed process tree,8,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV02621,ALT02621,AN23207,2026-08-10 08:40:28,2026-08-10 09:12:28,32,Checked threat intelligence and historical activity,4,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV02622,ALT02622,AN17505,2026-09-08 09:54:23,2026-09-08 10:07:23,13,Reviewed endpoint logs; analyzed process tree,2,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV02623,ALT02623,AN00563,2026-09-06 23:30:49,2026-09-07 00:40:49,70,Reviewed endpoint logs; analyzed process tree,9,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV02624,ALT02624,AN24299,2026-09-07 16:34:42,2026-09-07 17:40:42,66,Reviewed endpoint logs; analyzed process tree,3,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV02625,ALT02625,AN08461,2026-08-28 07:09:52,2026-08-28 07:34:52,25,"Correlated SIEM, firewall and endpoint telemetry",9,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV02626,ALT02626,AN17483,2026-08-31 10:18:45,2026-08-31 10:32:45,14,Checked threat intelligence and historical activity,10,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,No
INV02627,ALT02627,AN05261,2026-09-01 10:18:33,2026-09-01 11:12:33,54,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV02628,ALT02628,AN10977,2026-08-02 23:53:35,2026-08-03 00:48:35,55,Reviewed authentication logs; checked source IP,4,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02629,ALT02629,AN20901,2026-08-24 15:15:36,2026-08-24 16:06:36,51,"Correlated SIEM, firewall and endpoint telemetry",6,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV02630,ALT02630,AN16165,2026-09-06 16:49:36,2026-09-06 17:10:36,21,"Correlated SIEM, firewall and endpoint telemetry",11,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV02631,ALT02631,AN04273,2026-08-02 11:05:19,2026-08-02 11:18:19,13,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV02632,ALT02632,AN09018,2026-09-09 01:45:36,2026-09-09 02:16:36,31,Checked threat intelligence and historical activity,3,No,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV02633,ALT02633,AN10049,2026-09-03 12:17:52,2026-09-03 12:59:52,42,Reviewed authentication logs; checked source IP,3,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV02634,ALT02634,AN15070,2026-08-13 19:54:14,2026-08-13 20:05:14,11,Reviewed authentication logs; checked source IP,11,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV02635,ALT02635,AN24566,2026-09-04 05:11:33,2026-09-04 05:26:33,15,Reviewed authentication logs; checked source IP,5,No,Investigated user activity and historical baseline.,Potential compromise identified,No
INV02636,ALT02636,AN24743,2026-08-09 03:47:51,2026-08-09 04:02:51,15,Reviewed authentication logs; checked source IP,5,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV02637,ALT02637,AN17988,2026-08-20 07:02:53,2026-08-20 07:50:53,48,Checked threat intelligence and historical activity,11,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV02638,ALT02638,AN24317,2026-08-02 22:50:25,2026-08-02 23:17:25,27,Reviewed authentication logs; checked source IP,12,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV02639,ALT02639,AN11940,2026-08-17 11:31:25,2026-08-17 12:22:25,51,Reviewed endpoint logs; analyzed process tree,3,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
INV02640,ALT02640,AN05523,2026-08-25 01:49:59,2026-08-25 02:40:59,51,"Correlated SIEM, firewall and endpoint telemetry",7,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
